len_answer_content,len_user_intro,len_question_content,user_exp,len_user_edu,num_user_interst,num_user_followed,num_question_tags,num_user_saved,num_user_thanks,num_user_agrees,num_user_helped,num_user_recommend,answer_question_overlap,question_uinterest_overlap,uinterest_answer_overlap,s2v_0,s2v_1,s2v_2,s2v_3,s2v_4,s2v_5,s2v_6,s2v_7,s2v_8,s2v_9,s2v_10,s2v_11,s2v_12,s2v_13,s2v_14,s2v_15,s2v_16,s2v_17,s2v_18,s2v_19
0.203142536476,0.0,0.508333333333,0.0746268656716,0.161194029851,0.116935483871,0.778947368421,0.0,0.0,0.00481532575028,0.00348453693609,0.000206689306612,0.0496487119438,0.75,0.153846153846,0.2,-0.307675,-0.271455,0.585278,-0.418763,-0.542498,-0.802459,-0.089436,0.783008,-0.094403,-0.183768,0.127026,-0.031053,0.22151,0.188279,-0.046104,0.210836,-0.104048,0.105664,0.139181,-0.451017
0.121212121212,0.00395364689843,0.483333333333,0.134328358209,0.179104477612,0.211693548387,1.0,0.187830687831,0.00373134328358,0.0189229287592,0.00904599588756,0.00316066125648,0.00468384074941,0.25,0.0769230769231,0.2,0.33828,-0.153509,0.240764,0.498521,0.323257,0.045122,-0.273892,-0.057528,-0.178875,0.465164,-1.017792,0.265551,-0.4899,-0.529093,-0.104332,0.93716,-0.035077,0.497894,0.518822,0.167827
0.0948372615039,0.0377641445126,0.533333333333,0.194029850746,0.15223880597,0.558467741935,0.978947368421,0.269841269841,0.035447761194,0.0191311590619,0.0123718311414,0.00605547682175,0.197658079625,0.25,0.0769230769231,0.2,0.973284,0.280705,0.517179,0.037072,0.023305,-0.631118,0.790466,-0.351027,-0.303355,-0.229213,-0.138352,-0.077124,0.28623,0.576216,0.117759,0.597253,-0.703035,-0.482777,-0.369485,0.203818
0.112233445567,0.174096796183,0.479166666667,0.970149253731,0.205970149254,0.0423387096774,1.0,0.0,0.0764925373134,0.0794138316979,0.0439741661262,0.0177471390328,0.0114754098361,0.25,0.153846153846,0.2,-0.189004,0.506224,0.384508,0.320518,-0.087538,-0.168316,0.098358,0.764511,-0.363311,0.728554,0.077363,-0.122565,0.033592,-0.239618,0.043531,0.282439,0.123179,0.378039,-0.155574,-0.479825
0.149270482604,0.0203135650988,0.554166666667,0.731343283582,0.134328358209,0.0826612903226,1.0,0.0952380952381,0.117537313433,0.116166480127,0.144832535225,0.0476336136174,0.231850117096,0.25,0.0769230769231,0.2,0.199347,-0.547739,0.103838,-0.338862,0.050126,-0.229498,-0.087493,0.383919,0.697218,0.26167,-0.737488,-0.257963,0.085275,-0.587107,0.301945,-0.044753,-0.002839,0.383142,-0.108373,-0.349958
0.0572390572391,0.0374914792093,0.108333333333,0.686567164179,0.185074626866,0.655241935484,1.0,0.37037037037,0.0578358208955,0.0674405892918,0.101769178753,0.0334672711565,0.24355971897,0.0,0.0,0.0,-0.178539,0.682556,-0.531775,0.006867,-0.639001,0.047795,-0.561177,-1.691235,0.787492,-0.833799,0.264553,-0.758794,-0.289579,0.217622,0.244356,-0.202153,-0.460288,-0.02689,0.542708,-1.220985
0.214365881033,0.0,0.2375,0.313432835821,0.110447761194,0.163306451613,0.9,0.0846560846561,0.0,0.00197818787579,0.00258752742779,0.000241305423889,0.0250585480094,0.0,0.230769230769,0.0,0.938642,0.403883,-0.774796,-0.263474,-0.268415,-0.580667,-1.081651,-0.031403,0.475594,-0.169131,0.152959,-0.18356,-0.058307,-0.319457,-0.182171,-0.129023,0.184773,-0.236791,0.449964,-0.936446
0.714365881033,0.0,0.670833333333,0.402985074627,0.101492537313,0.5625,0.105263157895,0.232804232804,0.00559701492537,0.007938780291,0.00339483598526,0.0263185599145,0.0344262295082,0.25,0.0769230769231,0.2,0.671625,-0.589181,0.205831,0.399005,0.480526,0.426881,0.256569,-0.661406,0.882535,0.24244,-0.07381,0.066715,-0.472216,0.343959,-1.221309,-0.454654,0.159817,-0.23803,-0.764491,-0.168063
0.0735129068462,0.114655760055,0.5,0.328358208955,0.149253731343,0.695564516129,0.978947368421,0.259259259259,0.0391791044776,0.0277987454124,0.0493907235417,0.0577927072851,0.208430913349,0.25,0.230769230769,0.2,0.517413,-0.686687,0.447786,-0.657188,0.626649,0.307578,0.543448,0.451376,0.410861,0.218372,0.062173,-0.337924,0.526644,-0.206771,0.159466,-0.021186,-0.121142,-0.898328,-0.222125,-0.157304
0.225028058361,0.0,0.5375,0.134328358209,0.170149253731,0.375,0.473684210526,0.0343915343915,0.00559701492537,0.00577839090034,0.00615486524157,0.000611736219984,0.0140515222482,0.0,0.0769230769231,0.0,0.587116,-0.750699,0.10105,-0.123334,1.100099,-0.477824,-0.802132,-0.128871,0.197253,0.449121,-0.744734,0.73569,0.382394,0.403007,0.196653,-0.510861,0.305597,0.054391,0.217794,-0.176333
0.107744107744,0.0572597137014,0.516666666667,0.791044776119,0.310447761194,0.229838709677,0.984210526316,0.291005291005,0.0858208955224,0.118483042245,0.103487296965,0.0883800088265,0.256674473068,0.75,0.0769230769231,0.2,0.960635,-0.150755,0.456889,-0.135433,-0.170755,-0.244078,1.100536,-0.879592,0.151844,0.193715,0.481561,1.228469,0.216041,0.716787,-0.306027,-0.019489,-0.524748,-0.423612,-0.212622,-0.080998
0.0679012345679,0.012815269257,0.6125,0.55223880597,0.122388059701,0.237903225806,1.0,0.18253968254,0.00186567164179,0.00760040604909,0.00532685646468,0.000966574915474,0.0660421545667,0.0,0.0,0.0,-0.171212,-0.142184,0.337903,-0.363167,-0.118874,0.27962,0.537482,-0.324204,0.86238,0.282247,0.414862,0.054704,-0.707657,0.711626,-0.268805,0.298131,-0.827168,-0.129478,-0.44569,-0.792252
0.208193041526,0.0526244035446,0.133333333333,0.507462686567,0.55223880597,0.663306451613,1.0,0.420634920635,0.00746268656716,0.00947447877352,0.00943239998344,0.00126213130175,0.00140515222482,0.25,0.0769230769231,0.0,0.460595,1.296887,-0.056736,0.498997,0.062703,0.142887,0.748803,-0.452048,0.29006,-1.061288,0.00782,0.445904,0.000729,0.021116,-0.471097,-0.087252,-1.227409,-0.293137,-0.100821,0.138483
0.135802469136,0.0385821404226,0.720833333333,0.492537313433,0.14328358209,0.221774193548,1.0,0.26455026455,0.0111940298507,0.0269658242016,0.0144832535225,0.00626158349201,0.0688524590164,0.25,0.153846153846,0.2,0.730298,0.153746,0.20767,-0.194772,-0.323715,-0.207354,0.679075,0.306558,-0.15344,0.123453,0.716621,0.480677,0.477317,-0.14985,0.432622,0.353861,0.080581,-0.496089,-0.266851,0.061345
0.154882154882,0.0,0.475,0.119402985075,0.149253731343,0.167338709677,1.0,0.140211640212,0.00746268656716,0.0138473151305,0.0280073968784,0.00179376629998,0.00327868852459,0.25,0.0769230769231,0.2,0.897132,0.462453,-0.965747,-0.342814,-0.440376,-0.426153,-0.810198,0.134644,0.905069,0.159415,-0.7111,-0.761047,0.10328,-0.639973,0.040738,0.121181,0.191173,0.643931,0.498189,-0.28869
0.231200897868,0.0,0.533333333333,0.388059701493,0.173134328358,0.405241935484,0.963157894737,0.269841269841,0.0,0.00132746817981,0.00120751279964,0.000122656229211,0.0304449648712,0.0,0.153846153846,0.0,0.310185,1.132886,-0.02706,0.344997,0.242543,0.149566,-0.600703,-0.029867,0.337495,-0.043994,0.798792,0.116554,1.289966,-0.12499,0.041348,0.616493,-0.220731,-0.299945,0.146564,0.370356
0.037037037037,0.0,0.408333333333,0.402985074627,0.0985074626866,0.709677419355,0.210526315789,0.39417989418,0.0,0.000728806059502,0.000821108703752,0.000105261714856,0.0311475409836,0.0,0.0,0.4,0.803152,-0.150469,-0.517914,-0.398552,0.244848,0.607103,-0.013814,0.084294,1.118211,-0.490972,0.334369,-0.430306,0.562292,-0.090691,0.077387,-0.40431,0.603433,-0.42036,0.388937,1.076378
0.16049382716,0.0250852079073,0.316666666667,0.492537313433,0.0716417910448,0.0,0.0,0.0846560846561,0.0,0.00041646060543,0.000234602486786,5.60007509168e-05,0.0330210772834,0.0,0.0,0.0,0.404259,0.448196,-0.151711,-0.107871,-0.041996,-0.22649,0.154233,0.400032,-0.450187,0.428186,0.262891,-0.103721,0.363395,-0.095594,-0.270868,0.116898,-0.336864,-0.392222,0.389074,-0.002451
